title,company,salary,technical_skill,location,image_url,job_url,cluster
senior c# fullstack developer,tog recruitment,Up to 70000000VND,mvc devops github db aws sql angular2 core cosmos blazor wpf ms aspnet net c# azure reactjs,"Quận 3, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/81250/senior-c-fullstack-developer,5
senior java backend developer,dr.joy,Up to 2000,oop spring design database java mongodb boot,"Cầu Giấy, Hà Nội",https://www.itjobs.com.vn/upload/Employer/Dr.JOY-logo.jpg,https://www.itjobs.com.vn/en/job/81724/senior-java-backend-developer,8
salesforce marketing cloud consultant,clever age,Negotiable,salesforce javascript,"Quận 3, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Clever-Age-logo.jpg,https://www.itjobs.com.vn/en/job/81725/salesforce-marketing-cloud-consultant,2
frontend developer,fastboy marketing,Negotiable,scss css3 sass javascript uiux reactjs html5,"Tan Phu, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Fastboy-Marketing-logo.jpg,https://www.itjobs.com.vn/en/job/81726/frontend-developer,2
senior product owner,one mount group,Negotiable,development product jira,"Hoàn Kiếm, Hà Nội",https://www.itjobs.com.vn/upload/Employer/One-Mount-Group-logo.jpg,https://www.itjobs.com.vn/en/job/81727/senior-product-owner,6
mobile apps developer,vib - vietnam international bank,Negotiable,ajax rest css c ms java websphere objective iis xml sql javascript mysql kotlin html swift ios ibm xpath react plsql android golang oracle native json,"Hoàn Kiếm, Hà Nội",https://www.itjobs.com.vn/upload/Employer/VIB%20-%20Vietnam%20International%20Bank-logo.jpg,https://www.itjobs.com.vn/en/job/81728/mobile-apps-developer,4
fullstack developer,restaff,Negotiable,solid postgresql http rest redis ms azure mongodb graphql apache typescript design kafka javascript reactjs rabbitmq patterns nodejs api,"Phú Nhuận, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Restaff-logo.jpg,https://www.itjobs.com.vn/en/job/81729/fullstack-developer,7
(senior) golang developer,gft technologies vietnam,Negotiable,mvc patterns testing oop design clean golang mysql unit postgresql architecture,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/GFT-Technologies-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81730/senior-golang-developer,6
principal java engineer,nab innovation centre vietnam,Negotiable,spring aws nodejs cicd api ms java open azure oauth boot microservices,"Tan Binh, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/NAB-Innovation-Centre-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81731/principal-java-engineer,8
product owner,trusting social,Negotiable,ai intelligence machine artificial learning,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Trusting-Social-logo.jpg,https://www.itjobs.com.vn/en/job/81732/product-owner,6
senior technical project manager,bosch global software technologies (bgsv),Negotiable,pmp outsystems,"Tân Bình, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Bosch-Global-Software-Technologies-(BGSV)-logo.jpg,https://www.itjobs.com.vn/en/job/81733/senior-technical-project-manager,6
mid/senior .net developer,simpson strong-tie vietnam,Negotiable,mvc devops https entity cicd tdd ms azure web ddd aws sql core amqp service bus api mqtt net microservices,"Tân Bình, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Simpson-Strong-Tie-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81734/mid-senior-.net-developer,5
.net team leader,tog recruitment,Up to 91000000VND,redux devops github core ms reactjs net c# azure,"Quận 3, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/80716/net-team-leader,6
devops engineer (ms azure),tog recruitment,Up to 70000000VND,devops cicd iac ms azure,"Quận 3, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/TOG-recruitment-logo.jpg,https://www.itjobs.com.vn/en/job/81657/devops-engineer-ms-azure,6
middle back end developer,cj olivenetworks,Negotiable,lambda spring aws core nodejs s3 tdd cicd mysql oracle ec2 postgresql amazon java rds boot j2ee,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/CJ-OliveNetworks-logo.jpg,https://www.itjobs.com.vn/en/job/81708/middle-back-end-developer,8
.net backend developer,thai son soft,Up to 1800,mvc css3 postgresql oop redis uiux services ms c# mongodb iis elasticsearch web hypersql sql core javascript angularjs mysql signalr aspnet jquery nodejs memcached net html5,"Cầu Giấy, Hà Nội",https://www.itjobs.com.vn/upload/Employer/Thai%20Son%20Soft-logo.jpg,https://www.itjobs.com.vn/en/job/81709/net-backend-developer,7
quality control engineer,modec,Up to 2000,bdd plan devops trello test jira cucumber azure case,"Vũng Tàu, Bà Rịa-Vũng Tàu",https://www.itjobs.com.vn/upload/Employer/MODEC-logo.jpg,https://www.itjobs.com.vn/en/job/81710/quality-control-engineer,6
senior backend developer,modec,Negotiable,python mysql postgresql reactjs microservices django,"Vũng Tàu, Bà Rịa-Vũng Tàu",https://www.itjobs.com.vn/upload/Employer/MODEC-logo.jpg,https://www.itjobs.com.vn/en/job/81711/senior-backend-developer,6
devops engineer,cubicstack solutions,Negotiable,devops lambda docker ec2 grafana vpc cicd ecs git cloudwatch prometheus mongodb bash bitbucket alb aws python gitlab s3 mysql rds amazon terraform,"Quận 10, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/CubicStack-Solutions-logo.jpg,https://www.itjobs.com.vn/en/job/81712/devops-engineer,0
php developer,cubicstack solutions,Negotiable,patterns oop design laravel mysql php redis memcached mongodb codeigniter elasticsearch bitbucket,"Quận 10, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/CubicStack-Solutions-logo.jpg,https://www.itjobs.com.vn/en/job/81713/php-developer,7
senior brse,nissho vietnam,Up to 70000000VND,nosql aws rdbms kubernetes nodejs docker php bridge ms java azure se,"Đống Đa, Hà Nội",https://www.itjobs.com.vn/upload/Employer/Nissho%20Electronics-logo.jpg,https://www.itjobs.com.vn/en/job/81701/senior-brse,0
senior ruby on rails developer,the access group,Negotiable,bdd ruby testing aws on tdd unit elasticsearch postgresql integration rails,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/The-Access-Group-logo.jpg,https://www.itjobs.com.vn/en/job/81702/senior-ruby-on-rails-developer,6
senior backend developer,fullerton health,Negotiable,nosql oop data typescript rdbms nodejs javascript restful mysql git algorithm api mongodb structure,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Fullerton-Health-logo.jpg,https://www.itjobs.com.vn/en/job/81703/senior-backend-developer,7
senior frontend engineer,skedulo vietnam,Negotiable,jwt vuejs sass cicd css git confluence restful graphql redux javascript angularjs mocha jira reactjs yarn npm webpack github nodejs gruntjs api jest,"Quận 3, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Skedulo-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81704/senior-frontend-engineer,4
backend engineer,gft technologies vietnam,Negotiable,java microservices spring boot,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/GFT-Technologies-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81705/backend-engineer,8
java developer,dts software vietnam,Negotiable,spring thymeleaf sql restful report api ms java terasoluna jasper boot,"Ba Đình, Hà Nội",https://www.itjobs.com.vn/upload/Employer/DTS%20Software%20Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81706/java-developer,8
senior qa qc engineer,absolute software corporation,Negotiable,plan testing qa vmware rest automation selenium tester test jira java assured qc case,"Tân Bình, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Absolute%20Software%20Corporation-logo.jpg,https://www.itjobs.com.vn/en/job/81707/senior-qa-qc-engineer,3
api application integration developer,abbank,Negotiable,soap xml rest soapui kubernetes cicd docker oracle openshift api json jmeter ftp jms mongodb http graphql postman,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/ABBank-logo.jpg,https://www.itjobs.com.vn/en/job/81686/api-application-integration-developer,7
web application developer,pasona tech vietnam,Negotiable,nextjs lambda wordpress typescript aws python entity nodejs laravel php net c# nestjs codeigniter,"Tân Bình, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Pasona-Tech-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81528/web-application-developer,2
frontend engineer,siliconprime labs,Negotiable,redux websocket es6 oop scss css3 sass javascript restful api reactjs html5,"Tân Bình, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/SiliconPrime-Labs-logo.jpg,https://www.itjobs.com.vn/en/job/81537/frontend-engineer,2
cyber security - senior consultant,pricewaterhousecoopers (pwc),Negotiable,windows information firewall linux cism vpn cissp security,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/PricewaterhouseCoopers-(PwC)-logo.jpg,https://www.itjobs.com.vn/en/job/81541/cyber-security---senior-consultant,6
quản trị cơ sở dữ liệu,pg bank,Negotiable,ocp oca sql plsql mysql oracle elasticsearch ms postgresql mongodb etl,"Đống Đa, Hà Nội",https://www.itjobs.com.vn/upload/Employer/PG-Bank-logo.jpg,https://www.itjobs.com.vn/en/job/81582/quan-tri-co-so-du-lieu,5
bridge engineer,thankslab vietnam,Negotiable,qa qc bridge se,"Binh Thanh, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Thankslab-Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81488/bridge-engineer,3
test engineer ii,motorola solutions,Negotiable,tester linux,"Phu Nhuan, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Motorola-Solutions-logo.jpg,https://www.itjobs.com.vn/en/job/81639/test-engineer-ii,6
senior devops engineer,ghn express,Negotiable,devops ospf haproxy bgp kubernetes docker osi helm spark airflow redis java ansible mongodb bash nginx activemq elasticsearch gitlabci apache python tcpip kafka pulumi mysql terraform argocd zookeeper ubuntu hadoop linux golang shell debian gcp unix,"Quận 10, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/GHN-Express-logo.jpg,https://www.itjobs.com.vn/en/job/81690/senior-devops-engineer,0
it system & network specialist,de heus,Negotiable,windows sql symantec vcp mcse ccnp ccna ms server,"Quận 2, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/De%20Heus-logo.jpg,https://www.itjobs.com.vn/en/job/81689/it-system-network-specialist,5
php project leader,rakus vietnam,Negotiable,vuejs wordpress cakephp yii2 zend laravel javascript angularjs php reactjs codeigniter,"Quận 12, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/Rakus%20Vietnam-logo.jpg,https://www.itjobs.com.vn/en/job/81640/php-project-leader,2
it security operations engineer,abbank,Negotiable,hsm ldap active vault cissp auth0 ad nac ms saml azure oscp mdm aws cism directory powershell oauth iam gcp,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/ABBank-logo.jpg,https://www.itjobs.com.vn/en/job/81688/it-security-operations-engineer,0
architecture management,abbank,Negotiable,gcp devops devsecops,"Quận 1, TP Hồ Chí Minh",https://www.itjobs.com.vn/upload/Employer/ABBank-logo.jpg,https://www.itjobs.com.vn/en/job/81687/architecture-management,6
